source,target,weight
"Shim, Byoung-Shik","Stadler, Konrad",1
"Nguyen, Huan Huu","Shim, Byoung-Shik",1
"Shim, Byoung-Shik","Yun, Cheol-Heui",1
"Kim, Dong Wook","Shim, Byoung-Shik",1
"Chang, Jun","Shim, Byoung-Shik",1
"Czerkinsky, Cecil","Shim, Byoung-Shik",1
"Shim, Byoung-Shik","Song, Man Ki",1
"Nguyen, Huan Huu","Stadler, Konrad",1
"Stadler, Konrad","Yun, Cheol-Heui",1
"Kim, Dong Wook","Stadler, Konrad",1
"Chang, Jun","Stadler, Konrad",1
"Czerkinsky, Cecil","Stadler, Konrad",1
"Song, Man Ki","Stadler, Konrad",1
"Nguyen, Huan Huu","Yun, Cheol-Heui",1
"Kim, Dong Wook","Nguyen, Huan Huu",1
"Chang, Jun","Nguyen, Huan Huu",1
"Czerkinsky, Cecil","Nguyen, Huan Huu",1
"Nguyen, Huan Huu","Song, Man Ki",1
"Kim, Dong Wook","Yun, Cheol-Heui",1
"Chang, Jun","Yun, Cheol-Heui",1
"Czerkinsky, Cecil","Yun, Cheol-Heui",1
"Song, Man Ki","Yun, Cheol-Heui",1
"Chang, Jun","Kim, Dong Wook",1
"Czerkinsky, Cecil","Kim, Dong Wook",1
"Kim, Dong Wook","Song, Man Ki",1
"Chang, Jun","Czerkinsky, Cecil",1
"Chang, Jun","Song, Man Ki",1
"Czerkinsky, Cecil","Song, Man Ki",1
"Coughlin, Melissa M.","Elshabrawy, Hatem A.",1
"Baker, Susan C.","Elshabrawy, Hatem A.",1
"Elshabrawy, Hatem A.","Prabhakar, Bellur S.",1
"Baker, Susan C.","Coughlin, Melissa M.",1
"Coughlin, Melissa M.","Prabhakar, Bellur S.",1
"Baker, Susan C.","Prabhakar, Bellur S.",1
"Kien, FranÃ§ois","Millet, Jean Kaoru",1
"Cheung, Chung-Yan","Millet, Jean Kaoru",1
"Millet, Jean Kaoru","Siu, Yu-Lam",1
"Chan, Wing-Lim","Millet, Jean Kaoru",1
"Li, Huiying","Millet, Jean Kaoru",1
"Leung, Hiu-Lan","Millet, Jean Kaoru",1
"Jaume, Martial","Millet, Jean Kaoru",1
"Bruzzone, Roberto","Millet, Jean Kaoru",1
"Malik Peiris, Joseph S.","Millet, Jean Kaoru",1
"Altmeyer, Ralf Marius","Millet, Jean Kaoru",1
"Millet, Jean Kaoru","Nal, BÃ©atrice",1
"Cheung, Chung-Yan","Kien, FranÃ§ois",1
"Kien, FranÃ§ois","Siu, Yu-Lam",1
"Chan, Wing-Lim","Kien, FranÃ§ois",1
"Kien, FranÃ§ois","Li, Huiying",1
"Kien, FranÃ§ois","Leung, Hiu-Lan",1
"Jaume, Martial","Kien, FranÃ§ois",1
"Bruzzone, Roberto","Kien, FranÃ§ois",1
"Kien, FranÃ§ois","Malik Peiris, Joseph S.",1
"Altmeyer, Ralf Marius","Kien, FranÃ§ois",1
"Kien, FranÃ§ois","Nal, BÃ©atrice",1
"Cheung, Chung-Yan","Siu, Yu-Lam",1
"Chan, Wing-Lim","Cheung, Chung-Yan",1
"Cheung, Chung-Yan","Li, Huiying",1
"Cheung, Chung-Yan","Leung, Hiu-Lan",1
"Cheung, Chung-Yan","Jaume, Martial",1
"Bruzzone, Roberto","Cheung, Chung-Yan",1
"Cheung, Chung-Yan","Malik Peiris, Joseph S.",1
"Altmeyer, Ralf Marius","Cheung, Chung-Yan",1
"Cheung, Chung-Yan","Nal, BÃ©atrice",1
"Chan, Wing-Lim","Siu, Yu-Lam",1
"Li, Huiying","Siu, Yu-Lam",1
"Leung, Hiu-Lan","Siu, Yu-Lam",1
"Jaume, Martial","Siu, Yu-Lam",1
"Bruzzone, Roberto","Siu, Yu-Lam",1
"Malik Peiris, Joseph S.","Siu, Yu-Lam",1
"Altmeyer, Ralf Marius","Siu, Yu-Lam",1
"Nal, BÃ©atrice","Siu, Yu-Lam",1
"Chan, Wing-Lim","Li, Huiying",1
"Chan, Wing-Lim","Leung, Hiu-Lan",1
"Chan, Wing-Lim","Jaume, Martial",1
"Bruzzone, Roberto","Chan, Wing-Lim",1
"Chan, Wing-Lim","Malik Peiris, Joseph S.",1
"Altmeyer, Ralf Marius","Chan, Wing-Lim",1
"Chan, Wing-Lim","Nal, BÃ©atrice",1
"Leung, Hiu-Lan","Li, Huiying",1
"Jaume, Martial","Li, Huiying",1
"Bruzzone, Roberto","Li, Huiying",1
"Li, Huiying","Malik Peiris, Joseph S.",1
"Altmeyer, Ralf Marius","Li, Huiying",1
"Li, Huiying","Nal, BÃ©atrice",1
"Jaume, Martial","Leung, Hiu-Lan",1
"Bruzzone, Roberto","Leung, Hiu-Lan",1
"Leung, Hiu-Lan","Malik Peiris, Joseph S.",1
"Altmeyer, Ralf Marius","Leung, Hiu-Lan",1
"Leung, Hiu-Lan","Nal, BÃ©atrice",1
"Bruzzone, Roberto","Jaume, Martial",1
"Jaume, Martial","Malik Peiris, Joseph S.",1
"Altmeyer, Ralf Marius","Jaume, Martial",1
"Jaume, Martial","Nal, BÃ©atrice",1
"Bruzzone, Roberto","Malik Peiris, Joseph S.",1
"Altmeyer, Ralf Marius","Bruzzone, Roberto",1
"Bruzzone, Roberto","Nal, BÃ©atrice",1
"Altmeyer, Ralf Marius","Malik Peiris, Joseph S.",1
"Malik Peiris, Joseph S.","Nal, BÃ©atrice",1
"Altmeyer, Ralf Marius","Nal, BÃ©atrice",1
"Fielding, Burtram C.","McBride, Ruth",1
"MÃ¼ller, Marcel A.","Raj, V. Stalin",1
"Muth, Doreen","MÃ¼ller, Marcel A.",1
"Meyer, Benjamin","MÃ¼ller, Marcel A.",2
"Kallies, Stephan","MÃ¼ller, Marcel A.",2
"MÃ¼ller, Marcel A.","Smits, Saskia L.",1
"MÃ¼ller, Marcel A.","Wollny, Robert",1
"Bestebroer, Theo M.","MÃ¼ller, Marcel A.",1
"MÃ¼ller, Marcel A.","Specht, Sabine",1
"MÃ¼ller, Marcel A.","Suliman, Tasnim",1
"MÃ¼ller, Marcel A.","Zimmermann, Katrin",1
"Binger, Tabea","MÃ¼ller, Marcel A.",1
"Eckerle, Isabella","MÃ¼ller, Marcel A.",1
"MÃ¼ller, Marcel A.","Tschapka, Marco",1
"MÃ¼ller, Marcel A.","Zaki, Ali M.",1
"MÃ¼ller, Marcel A.","Osterhaus, Albert D. M. E.",1
"Fouchier, Ron A. M.","MÃ¼ller, Marcel A.",1
"Haagmans, Bart L.","MÃ¼ller, Marcel A.",1
"Drosten, Christian","MÃ¼ller, Marcel A.",4
"Muth, Doreen","Raj, V. Stalin",1
"Meyer, Benjamin","Raj, V. Stalin",1
"Kallies, Stephan","Raj, V. Stalin",1
"Raj, V. Stalin","Smits, Saskia L.",1
"Raj, V. Stalin","Wollny, Robert",1
"Bestebroer, Theo M.","Raj, V. Stalin",1
"Raj, V. Stalin","Specht, Sabine",1
"Raj, V. Stalin","Suliman, Tasnim",1
"Raj, V. Stalin","Zimmermann, Katrin",1
"Binger, Tabea","Raj, V. Stalin",1
"Eckerle, Isabella","Raj, V. Stalin",1
"Raj, V. Stalin","Tschapka, Marco",1
"Raj, V. Stalin","Zaki, Ali M.",1
